area,perimetro,eixo_maior,eixo_menor,excentricidade,eqdiasq,solidez,area_convexa,extensao,proporcao,redondidade,compactidade,fator_forma_1,fator_forma_2,fator_forma_3,fator_forma_4,RR_media,RG_media,RB_media,RR_dev,RG_dev,RB_dev,RR_inclinacao,RG_inclinacao,RB_inclinacao,RR_curtose,RG_curtose,RB_curtose,RR_entropia,RG_entropia,RB_entropia,RR_all,RG_all,RB_all,classe
356022,21.703.101,7.563.358,6.038.934,6.021,6.732.766,9.942,358086,7.885,1.2524,9.498,8.902,21,17,7.924,9.925,970.639,971.161,897.092,274.554,186.643,241.319,-673,4.954,8.883,2.4051,3.7038,5.0788,-33941866496,-32242589696,-28275976192,485.301,485.587,448.548,BERHI
394859,2.315.978,8.634.825,583.743,7.369,7.090.487,9.969,396085,7.776,1.4792,9.251,8.212,22,15,6.743,9.974,1.048.062,96.919,930.346,271.217,218.502,253.584,-389,2.085,5.615,2.7184,3.4655,4.7545,-43898953728,-36220506112,-34062194688,524.019,484.587,465.162,BERHI
389859,22.655.581,804.163,6.196.666,6.374,7.045.452,9.967,391136,7.808,1.2977,9.545,8.761,21,16,7.676,9.961,865.242,800.045,706.489,232.586,207.649,265.474,0.12,1.0571,1.9167,4.0652,6.2428,9.1344,-28546023424,-23870740480,-19827976192,432.614,400.039,353.271,BERHI
342514,2.154.021,7.643.176,5.732.928,6.614,6.603.805,9.912,345541,7.709,1.3332,9.277,864,22,17,7.465,9.953,1.033.877,1.033.205,763.917,299.227,258.496,266.107,-1.719,2.455,2.053,2.9109,3.8479,11.0375,-37706264576,-36726063104,-20245121024,516.922,516.611,381.958,BERHI
414954,23.253.181,7.748.641,6.849.321,4.676,7.268.671,9.941,417404,8.028,1.1313,9.644,9.381,19,17,0.88,9.955,834.485,831.212,807.786,276.418,243.162,241.986,515,4.065,5.553,2.1905,2.7204,3.9092,-29315438592,-28262199296,-26660716544,417.218,415.596,403.891,BERHI
314313,2.040.285,7.289.534,5.509.473,6.548,6.326.102,9.943,316111,746,1.3231,9.488,8.678,23,18,7.531,9.965,872.186,847.825,821.091,257.997,232.918,29.758,1.2025,2.1201,1.9725,8.498,12.5503,9.7957,-23896397824,-22137184256,-22064177152,436.122,423.951,410.597,BERHI
347694,21.874.561,7.912.161,5.631.738,7.024,6.653.553,9.898,351288,0.74,1.4049,9.131,8.409,23,16,7.072,9.935,914.126,985.578,945.405,246.937,224.851,248.803,-3.446,-349,1.471,2.8234,2.8912,3.6091,-28767764480,-33144877056,-30875068416,457.047,492.782,472.682,BERHI
423905,2.363.958,8.368.923,6.468.287,6.345,734.665,9.969,425214,765,1.2938,9.532,8.778,2,15,7.706,9.971,1.057.638,997.526,895.743,292.029,251.823,294.296,-2.421,2.699,1.0432,2.9209,3.7173,5.7463,-48629661696,-42112163840,-35035365376,528.856,498.795,447.907,BERHI
445381,24.075.071,8.078.385,7.053.541,4.875,753.045,9.964,446993,7.728,1.1453,9.656,9.322,18,16,8.689,9.952,1.180.315,1.081.492,953.137,299.831,211.358,279.423,-3.449,5.226,9.618,3.009,5.6341,5.5422,-64191721472,-51263995904,-41135149056,590.149,540.759,476.569,BERHI
409607,2.351.354,8.355.469,6.279.048,6.597,7.221.688,9.912,413253,8.129,1.3307,931,8.643,2,15,747,9.941,1.041.607,1.025.634,944.863,267.687,212.502,276.991,0.15,1.1114,1.362,4.976,7.731,7.8823,-44893036544,-42191290368,-37125099520,520.794,512.819,472.441,BERHI
